,ACS_05,ACS_06,ACS_07,ACS_08,ACS_09,ACS_10,ACS_12,ACS_13,ACS_14,ACS_15,ACS_16
"Alameda County, California",831.0,978.0,863.0,1235.0,1808.0,1524.0,2168.0,2408,2438.0,3390,2605.0
"Butte County, California",,,,,,2437.0,2453.0,2720,2978.0,3548,4134.0
"Contra Costa County, California",1247.0,1113.0,984.0,2504.0,1208.0,2797.0,2737.0,4069,1784.0,2182,3056.0
"El Dorado County, California",,,,,,,,1050,,939,
"Fresno County, California",28026.0,29509.0,32724.0,36184.0,37345.0,35932.0,36880.0,43728,36394.0,38144,41497.0
"Humboldt County, California",,,,,,,,2029,,2201,
"Kern County, California",29903.0,33626.0,27310.0,31147.0,31797.0,37169.0,35761.0,34541,41985.0,40264,43543.0
"Los Angeles County, California",10509.0,9879.0,10751.0,13607.0,19139.0,21660.0,21508.0,17120,19579.0,21762,23133.0
"Marin County, California",,,,,,583.0,1093.0,926,791.0,518,691.0
"Merced County, California",,,,,,11642.0,11201.0,13430,11883.0,13912,14881.0
"Monterey County, California",21002.0,25059.0,29311.0,25136.0,24698.0,25992.0,29342.0,35229,25169.0,32812,34896.0
"Napa County, California",,,,,,4251.0,,5740,2680.0,4233,4962.0
"Orange County, California",3478.0,5203.0,5221.0,6954.0,6647.0,4738.0,6505.0,6014,6670.0,6500,8132.0
"Placer County, California",,,1201.0,698.0,574.0,579.0,605.0,1002,1045.0,565,1420.0
"Riverside County, California",10137.0,13175.0,11447.0,11131.0,10864.0,14487.0,14077.0,14547,13447.0,15107,16948.0
"Sacramento County, California",3102.0,3005.0,2945.0,3453.0,3057.0,3701.0,4402.0,6049,4730.0,5357,6049.0
"San Bernardino County, California",4602.0,3851.0,4093.0,3459.0,4666.0,6991.0,4671.0,5575,5580.0,4961,3677.0
"San Diego County, California",9043.0,7315.0,8789.0,6253.0,8293.0,11579.0,15663.0,12773,10573.0,14600,12701.0
"San Francisco County, California",578.0,540.0,293.0,382.0,1357.0,908.0,660.0,502,664.0,1110,1568.0
"San Joaquin County, California",11024.0,12411.0,14658.0,13658.0,15420.0,12489.0,11059.0,13380,14107.0,15691,14229.0
"San Luis Obispo County, California",,4030.0,,3023.0,4465.0,3874.0,3476.0,3814,4238.0,3139,3672.0
"San Mateo County, California",1666.0,3035.0,1794.0,929.0,2676.0,2657.0,3094.0,1724,1419.0,2248,2272.0
"Santa Barbara County, California",10285.0,12103.0,13455.0,13934.0,14583.0,17345.0,17137.0,14907,18071.0,14440,19257.0
"Santa Clara County, California",1834.0,4211.0,3004.0,3762.0,3917.0,5430.0,3771.0,3450,8343.0,4815,4724.0
"Santa Cruz County, California",,,,,,7667.0,6834.0,9120,7141.0,5843,8503.0
"Shasta County, California",,,,,,,,2052,1514.0,960,1976.0
"Solano County, California",1932.0,1716.0,2172.0,2770.0,2665.0,2995.0,2538.0,2690,2083.0,2114,3553.0
"Sonoma County, California",4461.0,6851.0,6388.0,6939.0,7016.0,5194.0,6748.0,8228,6518.0,6224,9526.0
"Stanislaus County, California",8111.0,8341.0,9383.0,8173.0,13833.0,11234.0,10505.0,10922,12379.0,10647,12730.0
"Tulare County, California",26732.0,25770.0,30001.0,29412.0,28169.0,31267.0,31255.0,31725,31025.0,38732,32854.0
"Ventura County, California",11360.0,13149.0,16534.0,16608.0,12874.0,16442.0,21177.0,17310,24345.0,20033,21727.0
"Yolo County, California",,,,,,4016.0,3946.0,2619,5774.0,2844,3546.0
