,Year,Agriculture,Wholesale,Retail,FoodServices
0,ACS_05,10509.0,193331.0,460548.0,278482.0
1,ACS_06,9879.0,201425.0,488499.0,296362.0
2,ACS_07,10751.0,174599.0,481327.0,316034.0
3,ACS_08,13607.0,180565.0,509493.0,309083.0
4,ACS_09,19139.0,160758.0,466810.0,312008.0
5,ACS_10,21660.0,159909.0,468911.0,310310.0
6,ACS_11,21508.0,162179.0,470340.0,316086.0
7,ACS_12,17120.0,161787.0,483645.0,326664.0
8,ACS_13,19579.0,162638.0,503655.0,350197.0
9,ACS_14,21762.0,165783.0,508530.0,378430.0
10,ACS_15,23133.0,164029.0,509564.0,378681.0
11,ACS_16,16789.0,172930.0,516604.0,400127.0
